geo,sex,vintage,start_year,end_year,age_at_start,age_at_end,start_pop,end_pop,net_migration,net_pct_of_start
Manhattan,female,v2020,2012,2017,25-29,30-34,106235,88982,-17253,-16.2
Manhattan,female,v2020,2013,2018,25-29,30-34,108251,88638,-19613,-18.1
Manhattan,female,v2020,2014,2019,25-29,30-34,108329,89004,-19325,-17.8
Manhattan,female,v2020,2015,2020,25-29,30-34,107396,88485,-18911,-17.6
Manhattan,female,v2025,2020,2025,25-29,30-34,107947,89069,-18878,-17.5
Manhattan,male,v2020,2010,2015,15-19,20-24,36952,54308,17356,47.0
Manhattan,male,v2020,2011,2016,15-19,20-24,36588,53333,16745,45.8
Manhattan,male,v2020,2012,2017,15-19,20-24,35429,52611,17182,48.5
Manhattan,male,v2020,2013,2018,15-19,20-24,34585,51707,17122,49.5
Manhattan,male,v2020,2014,2019,15-19,20-24,33499,50065,16566,49.5
Manhattan,male,v2020,2015,2020,15-19,20-24,32652,49350,16698,51.1
Manhattan,male,v2025,2020,2025,15-19,20-24,35085,53188,18103,51.6
Manhattan,male,v2020,2010,2015,20-24,25-29,61765,91130,29365,47.5
Manhattan,male,v2020,2011,2016,20-24,25-29,60915,91203,30288,49.7
Manhattan,male,v2020,2012,2017,20-24,25-29,59054,90641,31587,53.5
Manhattan,male,v2020,2013,2018,20-24,25-29,57160,89625,32465,56.8
Manhattan,male,v2020,2014,2019,20-24,25-29,55207,89460,34253,62.0
Manhattan,male,v2020,2015,2020,20-24,25-29,54308,89593,35285,65.0
Manhattan,male,v2025,2020,2025,20-24,25-29,58258,94249,35991,61.8
Manhattan,male,v2020,2010,2015,25-29,30-34,85223,82935,-2288,-2.7
Manhattan,male,v2020,2011,2016,25-29,30-34,85658,84143,-1515,-1.8
Manhattan,male,v2020,2012,2017,25-29,30-34,88739,85277,-3462,-3.9
Manhattan,male,v2020,2013,2018,25-29,30-34,90588,85553,-5035,-5.6
Manhattan,male,v2020,2014,2019,25-29,30-34,91115,85940,-5175,-5.7
Manhattan,male,v2020,2015,2020,25-29,30-34,91130,86276,-4854,-5.3
Manhattan,male,v2025,2020,2025,25-29,30-34,91696,86347,-5349,-5.8
NYC,all,v2020,2010,2015,15-19,20-24,535827,614241,78414,14.6
NYC,all,v2020,2011,2016,15-19,20-24,529917,591338,61421,11.6
NYC,all,v2020,2012,2017,15-19,20-24,508631,568521,59890,11.8
NYC,all,v2020,2013,2018,15-19,20-24,493395,548559,55164,11.2
NYC,all,v2020,2014,2019,15-19,20-24,479923,531175,51252,10.7
NYC,all,v2020,2015,2020,15-19,20-24,467933,516482,48549,10.4
NYC,all,v2025,2020,2025,15-19,20-24,498661,554311,55650,11.2
NYC,all,v2020,2010,2015,20-24,25-29,642582,779725,137143,21.3
NYC,all,v2020,2011,2016,20-24,25-29,642183,790274,148091,23.1
NYC,all,v2020,2012,2017,20-24,25-29,644864,795717,150853,23.4
NYC,all,v2020,2013,2018,20-24,25-29,641058,788324,147266,23.0
NYC,all,v2020,2014,2019,20-24,25-29,628579,774777,146198,23.3
NYC,all,v2020,2015,2020,20-24,25-29,614241,757158,142917,23.3
NYC,all,v2025,2020,2025,20-24,25-29,615532,782981,167449,27.2
NYC,all,v2020,2010,2015,25-29,30-34,730183,712560,-17623,-2.4
NYC,all,v2020,2011,2016,25-29,30-34,731785,715614,-16171,-2.2
NYC,all,v2020,2012,2017,25-29,30-34,746279,721319,-24960,-3.3
NYC,all,v2020,2013,2018,25-29,30-34,757122,720737,-36385,-4.8
NYC,all,v2020,2014,2019,25-29,30-34,767285,723023,-44262,-5.8
NYC,all,v2020,2015,2020,25-29,30-34,779725,727830,-51895,-6.7
NYC,all,v2025,2020,2025,25-29,30-34,782628,746158,-36470,-4.7
NYC,female,v2020,2010,2015,15-19,20-24,264019,314498,50479,19.1
NYC,female,v2020,2011,2016,15-19,20-24,261197,303452,42255,16.2
