year,geo,sex,inmovers,inmovers_moe,pop_20_29,inmover_rate,low_income_inmovers,low_income_inmovers_moe,sample_inmovers,low_income_share,low_income_share_moe,nonmover_low_income_share,nonmover_low_income_share_moe
2019,Manhattan,all,46813.0,5492.0025283324485,297913.0,0.15713647944198475,27020.0,4771.568903351392,396,0.5771900967679918,0.06498326678211912,0.5522110367364149,0.027688959636645433
2019,Manhattan,women,27017.0,3999.0063850619504,162148.0,0.16661938475960233,15760.0,3277.4503356050263,238,0.5833364178110079,0.07421567233197975,0.5342461708075757,0.03310292164314317
2019,Manhattan,men,19796.0,2809.088838974526,135765.0,0.14581077597318898,11260.0,2579.5585883373537,158,0.5688017781369974,0.09993478510275049,0.5729164303056432,0.04752778094351401
2021,NYC,all,102770.0,6369.180329417593,1173903.0,0.08754556381574968,66650.0,5833.106386955732,993,0.6485355648535565,0.03639242990401687,0.7601003216836596,0.010061280316583893
2021,NYC,women,61401.0,4598.352214572629,610446.0,0.10058383542524646,39484.0,4307.031439940682,588,0.6430514161007149,0.04940465156505865,0.7447951822014954,0.01421767077497339
2021,NYC,men,41369.0,4117.579321082352,563457.0,0.07341997703462731,27166.0,3441.9518470787402,405,0.6566752882593246,0.050997621292914484,0.7758865825348497,0.014153121090852552
2021,Manhattan,all,58852.0,5866.436019532964,257039.0,0.2289613638397286,37899.0,5153.305417919406,558,0.643971317882145,0.05471959030426852,0.5966432933085213,0.03319335282818231
2021,Manhattan,women,36291.0,4364.1548808327425,138116.0,0.2627573923368762,23092.0,3940.637603323383,340,0.6363010112700118,0.07510918431791841,0.5645064832685459,0.04769836683939059
2021,Manhattan,men,22561.0,3123.0816503243236,118923.0,0.18971098946377069,14807.0,2629.9801673983684,218,0.6563095607464208,0.0725493648220832,0.6315401077411261,0.04360360573203966
2022,NYC,all,125812.0,9340.875469740176,1189947.0,0.1057290786900593,78778.0,7432.4696666513555,1117,0.6261564874574762,0.03446739138870506,0.7255309641209305,0.01040526918185065
2022,NYC,women,64790.0,5584.0506684919155,612979.0,0.10569693252134249,44900.0,4722.441005193713,628,0.6930081802747338,0.04114256341059358,0.7290723764343868,0.014857808617340715
2022,NYC,men,61022.0,6367.698226434632,576968.0,0.10576323123639439,33878.0,4796.3285056843215,489,0.5551768214742224,0.051099075841321756,0.7218258927473569,0.014675533880440418
2022,Manhattan,all,61547.0,6298.264509963142,275464.0,0.2234302849011123,35789.0,4866.433432757891,534,0.5814905681836645,0.046836327639065714,0.5672099051900731,0.03097914673732722
2022,Manhattan,women,33256.0,4603.036298700158,147260.0,0.22583186201276653,21794.0,3592.0976499178028,313,0.6553403897041136,0.06373503936301304,0.573013171272233,0.04184089014128029
2022,Manhattan,men,28291.0,3493.8260295641517,128204.0,0.22067174191132882,13995.0,2677.4744604811362,221,0.49468028701707256,0.06777714647973836,0.5606927517639513,0.04030603489203616
2023,NYC,all,116793.0,9729.768337212032,1156494.0,0.10098885078521808,73937.0,7445.100536902608,1043,0.6330602005257164,0.03810740767482169,0.700494662501788,0.013073143089892133
2023,NYC,women,62024.0,5836.472819673068,599036.0,0.10353968709726961,42504.0,4519.32185553845,568,0.6852831162130788,0.04626817927372698,0.7055558569212242,0.015544395356159233
2023,NYC,men,54769.0,6186.795127125493,557458.0,0.09824776036939106,31433.0,4585.1817728242795,475,0.5739195530318246,0.04836450045187333,0.6952050290047669,0.019360461625954995
2023,Manhattan,all,50003.0,6413.2711861763655,278084.0,0.1798125746177414,26705.0,3744.768360456525,439,0.5340679559226447,0.054323591502885134,0.4991173501328205,0.03252413157749999
2023,Manhattan,women,27662.0,4295.219050487414,148718.0,0.1860030393092968,16361.0,2803.6954559081482,256,0.5914612103246331,0.07141483690955809,0.4876982185062941,0.04073169095607296
2023,Manhattan,men,22341.0,4015.931697767966,129366.0,0.1726960716107787,10344.0,2391.555374450642,183,0.46300523700819124,0.07615131637601624,0.5126132112620595,0.056185885599107366
2024,NYC,all,109021.0,8012.3999927015475,1205189.0,0.09045967064087043,62318.0,5947.390349954445,983,0.5716146430504215,0.03830614357582004,0.6841810843020582,0.012269912659107181
2024,NYC,women,63278.0,5364.155450882972,629909.0,0.10045578012062059,35972.0,3927.002420770199,561,0.5684756155377857,0.05115577731756012,0.6730463213003487,0.016559153697693008
2024,NYC,men,45743.0,5064.48566707457,575280.0,0.07951432345988041,26346.0,4040.3156906495255,422,0.5759569770238069,0.05779547006727728,0.6958179427513603,0.016857976151361923
2024,Manhattan,all,52009.0,5144.015911106443,294884.0,0.17637104759837766,25923.0,3637.5002381663153,445,0.49843296352554367,0.058417757797227195,0.46752239376905996,0.029114531132782125
2024,Manhattan,women,31789.0,3953.557678953066,160239.0,0.198384912536898,16267.0,2539.253885262362,269,0.5117178898361068,0.07526025365274795,0.46532170566439435,0.03497061317890605
2024,Manhattan,men,20220.0,3181.9318810441246,134645.0,0.15017267629692896,9656.0,2482.813927617211,176,0.47754698318496536,0.09292778425914608,0.46989748574963547,0.050613328628090336
